file_name,download_columns_count,clean_columns_count,load_columns_count,download_records_count,clean_records_count,load_records_count,pct_cleaned,pct_loaded
ACRONYMS_CD,4,4,5,885,884,884,99.89%,100.00%
ADDRESS_CD,7,7,8,324944,324943,324942,100.00%,100.00%
BALLOT_MEASURES_CD,6,6,7,110,109,109,99.09%,100.00%
CVR2_CAMPAIGN_DISCLOSURE_CD,38,38,39,96681,96681,96680,100.00%,100.00%
CVR2_LOBBY_DISCLOSURE_CD,13,13,14,95208,95207,95207,100.00%,100.00%
CVR2_REGISTRATION_CD,12,12,13,91151,91150,91150,100.00%,100.00%
CVR2_SO_CD,33,33,34,36842,36841,36841,100.00%,100.00%
CVR3_VERIFICATION_INFO_CD,13,13,14,220509,220509,220508,100.00%,100.00%
CVR_CAMPAIGN_DISCLOSURE_CD,86,86,87,340040,340040,340039,100.00%,100.00%
CVR_E530_CD,32,32,33,191,190,190,99.48%,100.00%
CVR_F470_CD,0,0,0,0,0,0,,
CVR_LOBBY_DISCLOSURE_CD,52,52,53,280402,280401,280401,100.00%,100.00%
CVR_REGISTRATION_CD,71,71,72,43306,43305,43305,100.00%,100.00%
CVR_SO_CD,54,54,55,14727,14726,14726,99.99%,100.00%
DEBT_CD,33,33,34,405268,405647,405262,100.09%,100.00%
EFS_FILING_LOG_CD,6,6,7,146814,146813,146813,100.00%,100.00%
EXPN_CD,53,53,54,4750140,4752238,4750136,100.04%,100.00%
F495P2_CD,8,8,9,963,962,962,99.90%,100.00%
F501_502_CD,54,54,55,15249,15248,15248,99.99%,100.00%
F690P2_CD,11,11,12,18248,18247,18247,99.99%,100.00%
FILERNAME_CD,17,17,18,686274,686273,686271,100.00%,100.00%
FILERS_CD,1,1,2,345323,345322,345322,100.00%,100.00%
FILER_ACRONYMS_CD,2,2,3,1773,1772,1772,99.94%,100.00%
FILER_ADDRESS_CD,5,5,6,400095,400094,400094,100.00%,100.00%
FILER_ETHICS_CLASS_CD,3,3,4,15077,15076,15076,99.99%,100.00%
FILER_FILINGS_CD,16,16,17,1842503,1842502,1842502,100.00%,100.00%
FILER_INTERESTS_CD,4,4,5,35897,35896,35896,100.00%,100.00%
FILER_LINKS_CD,9,9,10,261300,261299,261299,100.00%,100.00%
FILER_STATUS_TYPES_CD,2,2,3,9,8,8,88.89%,100.00%
FILER_TO_FILER_TYPE_CD,16,16,17,479481,479480,479480,100.00%,100.00%
FILER_TYPES_CD,5,5,6,19,18,18,94.74%,100.00%
FILER_TYPE_PERIODS_CD,0,0,0,0,0,0,,
FILER_XREF_CD,4,4,5,345289,345288,345288,100.00%,100.00%
FILINGS_CD,2,2,3,1712360,1712359,1712359,100.00%,100.00%
FILING_PERIOD_CD,7,7,8,1449,1448,1448,99.93%,100.00%
GROUP_TYPES_CD,3,3,4,21,20,20,95.24%,100.00%
HDR_CD,9,9,10,670497,670496,670495,100.00%,100.00%
HEADER_CD,12,12,13,89,88,88,98.88%,100.00%
IMAGE_LINKS_CD,5,5,6,14650,14649,14649,99.99%,100.00%
LATT_CD,20,20,21,72108,72107,72107,100.00%,100.00%
LCCM_CD,24,24,25,87257,87256,87256,100.00%,100.00%
LEGISLATIVE_SESSIONS_CD,3,3,4,31,30,30,96.77%,100.00%
LEMP_CD,24,24,25,264403,264402,264402,100.00%,100.00%
LEXP_CD,25,25,26,177911,177910,177910,100.00%,100.00%
LOAN_CD,49,49,50,67521,67520,67520,100.00%,100.00%
LOBBYING_CHG_LOG_CD,24,24,25,57595,57594,57594,100.00%,100.00%
LOBBYIST_CONTRIBUTIONS1_CD,7,7,8,6506,6505,6505,99.98%,100.00%
LOBBYIST_CONTRIBUTIONS2_CD,7,7,8,6506,6505,6505,99.98%,100.00%
LOBBYIST_CONTRIBUTIONS3_CD,7,7,8,6506,6505,6505,99.98%,100.00%
LOBBYIST_EMPLOYER1_CD,20,20,21,1731,1730,1730,99.94%,100.00%
LOBBYIST_EMPLOYER2_CD,20,20,21,1731,1730,1730,99.94%,100.00%
LOBBYIST_EMPLOYER3_CD,20,20,21,1731,1730,1730,99.94%,100.00%
LOBBYIST_EMPLOYER_FIRMS1_CD,5,5,6,525,524,524,99.81%,100.00%
LOBBYIST_EMPLOYER_FIRMS2_CD,5,5,6,525,524,524,99.81%,100.00%
LOBBYIST_EMPLOYER_HISTORY_CD,0,0,0,0,0,0,,
LOBBYIST_EMP_LOBBYIST1_CD,6,6,7,1501,1500,1500,99.93%,100.00%
LOBBYIST_EMP_LOBBYIST2_CD,6,6,7,1501,1500,1500,99.93%,100.00%
LOBBYIST_FIRM1_CD,18,18,19,257,256,256,99.61%,100.00%
LOBBYIST_FIRM2_CD,18,18,19,257,256,256,99.61%,100.00%
LOBBYIST_FIRM3_CD,18,18,19,257,256,256,99.61%,100.00%
LOBBYIST_FIRM_EMPLOYER1_CD,11,11,12,171,170,170,99.42%,100.00%
LOBBYIST_FIRM_EMPLOYER2_CD,11,11,12,171,170,170,99.42%,100.00%
LOBBYIST_FIRM_HISTORY_CD,0,0,0,0,0,0,,
LOBBYIST_FIRM_LOBBYIST1_CD,6,6,7,578,577,577,99.83%,100.00%
LOBBYIST_FIRM_LOBBYIST2_CD,6,6,7,578,577,577,99.83%,100.00%
LOBBY_AMENDMENTS_CD,42,42,43,10770,10769,10769,99.99%,100.00%
LOOKUP_CODES_CD,3,3,4,1131,1130,1130,99.91%,100.00%
LOTH_CD,20,20,21,13476,13475,13475,99.99%,100.00%
LPAY_CD,26,26,27,436398,436397,436397,100.00%,100.00%
NAMES_CD,10,10,11,433224,433223,433223,100.00%,100.00%
RCPT_CD,63,63,64,9085619,9094985,9085618,100.10%,100.00%
RECEIVED_FILINGS_CD,7,7,8,386283,386282,386282,100.00%,100.00%
REPORTS_CD,8,8,9,39,38,38,97.44%,100.00%
S401_CD,37,37,38,41398,41397,41397,100.00%,100.00%
S496_CD,12,12,13,34828,34827,34827,100.00%,100.00%
S497_CD,41,41,42,573282,573281,573281,100.00%,100.00%
S498_CD,37,37,38,9264,9263,9263,99.99%,100.00%
SMRY_CD,9,9,10,7933179,7933178,7933178,100.00%,100.00%
SPLT_CD,8,8,9,3123619,3129176,3123618,100.18%,100.00%
TEXT_MEMO_CD,7,7,8,1509312,1509329,1509283,100.00%,100.00%
